bill_id,9770090,9770356,9770372,9770414,9770450,9770456,9770527,9770587,9770598,9770602,9770676,9770679,9770712,9770719,9770723,9770725,9770741,9770742,9770752,9770753,9770755,9770764,9770767,9770768,9770770,9770774,9770779,9770784,9770786,9770808,9770811,9770812,9770813,9770826,9770835,9770836,9770837,9770839,9770846,9770852,9770858,9770859,9770864,9770869,9770871,9770872,9770876,9770878,9770881,9770883,9770886,9770905,9770911,9770912,9770914,9770926,9770927,9770929,9770931,9770932,9770933,9770934,9770936,9770941,9770944,9770950,9770951,9770952,9770954,9770956,9770962,9770963,9770966,9770967,9770968,9770973,9770975,9770977,9770980,9770981,9770982,9770984,9770985,9770986,9770990,9770991,9770995,9770996,9770997,9770998,9770999,9771000,9771001,9771002,9771003,9771006,9771007,9771008,9771009,9771010,9771012,9771015,9771017,9771023,9771024,9771028,9771030,9771032,9771037,9771038,9771041,9771058,9771060,9771068,9771089,9771090,9771091,9771092,9771093,9771094,9771098,9771103,9771106,9771107,9771108,9771109,9771110,9771111,9771112,9771113,9771114,9771115,9771116,9771117,9771118,9771119,9771120,9771121,9771122,9771123,9771125,9771126,9771127,9771128,9771129,9771130,9771132,9771133,9771134,9771135,9771136,9771137,9771138,9771139,9771140,9771141,9771142,9771143,9771144,9771145,9771146,9771147,9771148,9771149,9771150,9771151,9771152,9771153,9771154,9771155,9771156,9771157,9771158,9771159,9771160,9771161,9771162,9771163,9771164,9771165,9771166,9771167,9771168,9771169,9771170,9771171,9771172,9771173,9771174,9771175,9771176,9771177,9771178,9771179,9771180,9771181,9771182,9771183,9771184,9771185,9771186,9771187,9771188,9771189,9771190,9771191,9771192,9771193,9771194,9771195,9771196,9771197,9771198,9771199,9771200,9771201,9771202,9771203,9771204,9771205,9771206,9771207,9771208,9771209,9771210,9771211,9771212,9771213,9771214,9771215,9771216,9771217,9771218,9771219,9771220,9771221,9771223,9771224,9771225,9771226,9771227,9771228,9771229,9771230,9771231,9771232,9771233,9771234,9771235,9771236,9771237,9771238,9771239,9771240,9771241,9771242,9771243,9771244,9771245,9771246,9771247,9771248,9771249,9771250,9771251,9771252,9771253,9771254,9771255,9771256,9771257,9771258,9771259,9771260,9771261,9771262,9771263,9771264,9771266,9771267,9771268,9771269,9771270,9771271,9771272,9771273,9771274,9771275,9771276,9771277,9771278,9771279,9771280,9771281,9771282,9771283,9771284,9771285,9771286,9771287,9771288,9771289,9771290,9771291,9771292,9771293,9771294
PRC_O2R0W0R7Y1D6X1B6V5D7A3S1Y3C1C2,,,1,1,,1,1,,,1,,,,,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,1,1,0,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,,1,,,1,,1,1,1,1,1,,1,1,1,,1,1,1,0,1,1,,1,,1,1,,1,,1,1,1,,,1,1,1,0,1,0,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,,,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,0,,1,,1,,1,,,,0,,1,,,1,1,0,1,0,,0,1,0,,-1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,0,,1,,,,,,,
PRC_I2R0D0U7K1P7W0T9H4Z6L3D4W6I0L8,,,1,1,,1,1,1,,1,,-1,1,0,1,0,1,,1,1,1,0,-1,,1,1,1,1,1,1,,-1,1,1,,1,1,1,1,1,0,1,1,1,1,1,1,,1,,1,1,1,-1,1,,1,1,1,1,1,1,1,1,-1,1,1,1,0,0,0,1,,1,1,1,1,,1,1,,1,,1,1,1,1,,1,1,1,1,0,-1,-1,1,1,0,1,1,0,-1,1,0,,-1,0,-1,1,1,-1,1,1,,1,1,1,1,1,,1,-1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,,1,,-1,1,1,0,0,0,1,1,0,,0,-1,1,-1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,-1,1,0,,1,0,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,-1,0,-1,1,0,0,,-1,,-1,,-1,,,-1,1,-1,-1,,-1,0,,0,1,-1,,1,-1,,-1,0,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,,,1,1,1,1,0,,1,,,,,,,
PRC_A2V0G0A7T1L7R1R0Y0P9X3B3L0B1F7,1,1,1,1,0,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,-1,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,-1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,0,1,1,0,-1,0,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,,,,,
PRC_D2S0C0F7I1C7V1H1S4T2M2B2G8W6R3,1,1,1,1,,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,0,1,1,1,1,1,,1,1,0,,1,1,1,1,1,1,,1,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,0,,1,0,1,1,1,1,,,,,,,
ARC_B2N0J0O7S1P7F1D4M4C3B3H6H9L7F7,,1,1,1,1,1,1,1,,1,,1,1,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,0,1,1,1,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,,,,1,1,1,,-1,1,1,1,,,1,1,,1,1,1,1,0,1,1,,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,,1,0,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,0,1,0,0,1,1,,0,,1,1,1,1,0,1,1,1,,0,1,1,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,,1,1,,1,,1,0,1,,0,0,1,-1,-1,1,1,1,-1,0,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,,1,1,,,,,,,
PRC_X2L0X0R7D1F7E1W4E5S3H5U7A2U4L1,1,1,1,1,1,1,,1,,1,1,0,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,1,,1,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,,0,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,0,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,0,,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,,,,,,,
PRC_X2A0C0B7F1D7P1V5G1L1I2R8A7N6C0,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,1,1,1,1,,1,1,1,,,1,0,1,1,1,,1,1,,,1,,1,,1,1,1,1,1,,1,1,1,,1,1,,,,1,1,1,,1,,,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,0,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,,,1,0,1,1,1,1,1,1,1,,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,,0,1,,1,,1,-1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,0,1,,1,1,1,,1,1,,,,,,,
PRC_M2Y0B0W7F2K0Y1I3E0S8C5O5T6Q6J4,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,0,,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,1,,1,,1,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,0,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,0,1,1,1,1,0,1,1,1,0,1,0,-1,0,1,1,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,,1,1,1,,1,1,,,,,,,
PRC_M2J0N0A7Y2O0W1I5L2S7C3G1Q2R5R9,,,1,,,1,1,1,,1,1,,1,1,1,,,1,1,1,1,1,,1,,1,,1,1,1,,1,,1,1,1,1,1,,1,,,1,1,1,,1,,1,,,1,1,,,1,1,1,1,,1,1,,1,,,,,,,,1,1,1,1,1,1,,1,1,0,1,1,1,1,,1,,1,,1,1,1,1,,-1,1,0,,1,,,1,,,1,,,1,1,1,1,,1,,1,1,1,1,,1,0,1,1,,1,1,1,1,1,,1,,,1,1,,,1,1,1,,0,,1,,1,1,1,1,0,1,1,,1,1,0,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,0,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,0,,,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,,,,1,1,,,1,1,1,,0,,1,1,,1,1,1,1,0,1,,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,1,,,,,,,
PRC_X2B0Z0M7T2S1P1V4T5E5L2G4U5Y5N8,1,1,1,1,1,1,1,1,,1,1,-1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,0,0,1,1,,1,1,1,1,0,1,1,1,1,1,0,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,0,1,1,1,-1,1,1,1,-1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,,,,,,,
PRC_L2Q0W0B7Y2B1D1F5U0S2L5L3L5R0H1,,1,1,1,,1,1,1,,1,,-1,1,1,1,1,,,1,1,1,1,-1,,,,1,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,,1,,1,1,1,-1,0,1,1,1,1,1,1,0,-1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,-1,1,0,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,,-1,1,0,1,,1,,1,1,0,,,0,1,0,1,0,0,0,0,1,1,-1,,1,0,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,0,,1,,,,,,,
PRC_M2F0D0X7I2M1A1G7I4F8C3E4N5G5K7,1,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,1,1,1,0,1,0,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,,,,,,,
PRC_J2W0R0X7M2W2H1J5Q2K3U0W1V4S5I3,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,,,1,,1,1,,1,1,1,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,0,1,1,1,1,,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,,,,,,,
PRC_Q2N0T0S7C2M3Y1Z6I0O0E2C2T0N0M5,1,1,1,,,,,1,,1,,1,1,0,1,,,,1,1,,1,0,,,1,,1,1,1,,1,,,1,1,1,1,,1,,,,1,1,,1,,1,,,1,1,,1,1,1,1,1,1,1,1,,1,,,,,,,1,1,1,1,,1,1,,1,,1,1,1,1,1,,1,1,1,,1,1,,,1,1,1,1,,1,1,,1,1,,1,1,1,,1,1,1,,1,,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,,,1,1,,,1,1,1,,1,,1,1,0,0,0,1,0,1,,,1,0,,1,,,1,0,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,0,1,0,,,1,,1,1,,,,1,1,0,1,,1,0,,1,1,1,1,0,,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,1,1,1,,,1,,,,,,,
PRC_U2C0F0Z7N2M4G1F1H0G4G1A6K8A4T5,,1,1,,,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,1,,,1,1,,1,1,,1,1,1,1,1,1,1,,1,,,1,1,,1,,,,,,1,1,1,1,1,1,1,1,,1,1,,,,,,,,1,1,1,,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,1,1,1,1,,1,1,,,1,1,1,1,1,1,,1,1,1,,,1,,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,1,1,1,0,1,,1,1,1,1,1,1,1,,1,1,,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,0,,1,1,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,-1,,1,-1,,0,,,1,0,1,1,1,,1,0,1,1,1,,1,1,1,1,1,1,1,1,-1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,,,,,,
PRC_E2X0C0B7F2I4I1B7J0F1J4B6A9O3T7,1,1,1,1,1,1,,1,,1,1,0,1,1,1,1,1,0,,1,1,1,0,1,1,1,1,1,1,1,,1,1,0,,1,1,1,1,1,1,,1,,1,,1,,1,0,1,1,1,0,1,1,1,1,1,,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,0,,1,1,,1,1,1,1,1,1,1,1,1,,0,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,-1,,0,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,-1,1,1,1,1,0,1,,-1,1,-1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,,,,,,,
PRC_P2B0Z0Z7Z2V4Z1T7P4E1Y5N9R1Y4L6,1,1,1,1,,1,1,1,,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,0,1,1,1,,,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,0,1,1,0,,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,,,
PRC_F2R0C0E7K2M7O1G4S2F6E4J2E4N0A1,1,1,1,1,1,,,1,,1,1,,1,1,1,1,,,1,1,1,1,0,,,1,1,1,1,1,,1,1,1,1,1,0,1,,1,,,1,,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,1,1,,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,0,,1,1,,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,,1,1,1,1,1,1,,,-1,1,-1,,0,1,1,,,,,1,0,,1,,1,1,1,1,1,1,0,1,0,1,1,,1,0,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,0,1,1,,,,,,
PRC_A2J0W0Y7I2P7R1H4W5Y1N2S3N7O5J6,,,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,-1,,1,1,1,1,1,1,,1,1,1,,,0,,1,1,,1,1,1,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,,1,1,,0,1,,1,,,,,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,-1,1,-1,-1,1,1,,0,1,1,1,1,1,1,0,1,1,,,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,,0,1,,1,,1,0,1,0,-1,1,1,0,1,1,1,-1,1,-1,1,1,1,,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,,,,,,,
PRC_K2N0D0J7M2S7F1I7H0M6A2N3B6B5Z8,,,,,0,1,1,1,,1,,,1,1,1,,1,1,1,1,1,1,,,,1,1,1,1,1,,1,,,1,1,1,1,,,,,,,,,1,,1,,,1,1,0,1,1,1,,1,1,1,1,,1,,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,,,1,,,,,,,,,1,1,,1,1,,1,,,,1,0,1,,1,1,1,,1,,,,0,,1,,1,1,1,1,,1,1,1,1,,,1,,1,,,,0,,1,,,,,1,0,1,0,0,1,1,0,0,1,,1,1,1,1,1,,,,1,1,1,,,1,,,1,1,1,-1,,,1,1,,,,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,1,1,1,1,,1,-1,,,,1,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,-1,,1,1,1,1,1,1,,1,,,1,1,,0,0,,0,,1,,,1,0,1,0,,,0,1,1,1,,1,,1,1,1,1,,1,1,,1,1,1,1,1,1,1,,1,,,1,1,,1,1,1,,,,,,
PRC_A2Z0H0B7P2T8E1U5F5G9H0G9S9Q3U7,1,1,1,,-1,,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,0,,,1,1,1,1,1,,,,,1,,,1,,1,,,1,1,1,1,1,,1,,,1,1,,1,1,1,1,1,1,1,1,,1,,,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,1,,1,1,1,0,1,1,,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,0,1,1,1,1,1,,1,1,,,0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,,,,1,,1,,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,,1,,,,,,,
